ydbP,939940,BSU04550
ddl,938224,BSU04560
murF,939947,BSU04570
cshA,938170,BSU04580
ydbS,940149,BSU04590
ydbT,938221,BSU04600
ydcA,939936,BSU04610
acpS,938194,BSU04620
ydcC,938166,BSU04630
alrA,939942,BSU04640
endB,938177,BSU04650
ndoA,939935,BSU04660
rsbRA,938176,BSU04670
rsbS,938157,BSU04680
rsbT,938168,BSU04690
rsbU,939939,BSU04700
rsbV,939930,BSU04710
rsbW,938167,BSU04720
sigB,939937,BSU04730
rsbX,938155,BSU04740
ydcF,938158,BSU04750
ydcG,938162,BSU04760
ydcH,939928,BSU04770
ydcI,939932,BSU04780
ydcK,938154,BSU04790
ydcL,938151,BSU04800
immA,939924,BSU04810
immR,938150,BSU04820
sacV,939938,BSU04830
ydzL,8303154,BSU04839
ydcO,938142,BSU04840
ydcP,939920,BSU04850
ydcQ,939923,BSU04860
ydcR,939922,BSU04870
ydcS,938148,BSU04880
ydcT,938146,BSU04890
yddA,938135,BSU04900
yddB,939918,BSU04910
yddC,938144,BSU04920
yddD,939921,BSU04930
yddE,938130,BSU04940
yddF,938143,BSU04950
yddG,938141,BSU04960
yddH,938136,BSU04970
yddI,939919,BSU04980
yddJ,939925,BSU04990
yddK,939917,BSU05000
rapI,938127,BSU05010
phrI,939927,BSU05020
yddM,938134,BSU05030
yddN,938133,BSU05040
lrpA,938119,BSU05050
lrpB,939912,BSU05060
yddQ,938129,BSU05070
yddR,939915,BSU05080
yddS,938128,BSU05090
ydzM,8303141,BSU05099
yddT,939913,BSU05100
ydzN,8303142,BSU05109
ydeA,939914,BSU05110
cspC,938114,BSU05120
ydeB,938120,BSU05130
ydzE,938121,BSU05140
ydeC,938103,BSU05150
ydeD,939906,BSU05160
ydeE,938117,BSU05170
ydeF,939911,BSU05180
ydeG,938115,BSU05190
ydeH,938097,BSU05200
ydeI,939916,BSU05210
ydeJ,939910,BSU05220
ydeK,938112,BSU05230
ydeL,939904,BSU05240
ydeM,938104,BSU05250
ydeN,939908,BSU05260
ydzF,938088,BSU05270
ydeO,938098,BSU05280
ydeP,938100,BSU05290
ydeQ,939902,BSU05300
ydeR,938096,BSU05310
ydeS,938083,BSU05320
ydzO,8303150,BSU05329
