Gene ID,C12T1,C12T7,C14T1,C14T9,C23T7,C23T8,C26T10A,C26T9A,C27T10A,C27T9A,C28T7,C28T8,C10T5B,C10T6,C15T11A,C15T9,C16T10,C16T12A,C21T16,C21T7C,C4T11A,C4T12A,C6T10,C6T9,Gene Symbol,Aliases,Entrez ID,Ensembl ID,GO Accession
936891,7.3304405,7.3111925,6.5387897,7.109578,7.4608707,8.004585,9.289707,6.757911,7.282859,8.143581,7.0203476,7.984717,6.7828565,7.307479,8.239121,6.891694,8.759421,7.9444423,6.272879,7.8890877,6.523355,7.208419,8.366697,8.558565,BSU00400,,936891,,GO:0003674|GO:0005575|GO:0008150
937001,5.71916,6.3046684,1.9951665,4.114585,5.378959,4.9019017,5.5088553,4.469409,4.571144,5.5078425,3.550877,4.786598,4.723963,4.3852167,5.744008,3.7167327,6.2622128,6.103833,3.8550267,5.061981,4.7721796,4.589456,6.6967454,6.960097,BSU00410,,937001,,GO:0006364|GO:0043822
936358,7.3148065,8.067098,5.6408114,5.6668963,6.5854607,6.653601,6.5605803,6.212052,5.909603,6.944654,5.550877,6.6027703,5.460928,4.8446484,7.012894,6.405649,7.856174,7.1503916,5.3468795,6.459729,5.9738135,6.0208473,8.007057,8.038182,BSU00420,,936358,,GO:0000154|GO:0000179
937005,1.6848584,2.200665,0,0,1.8452778,1.079427,1.9118655,2.759511,2.5501072,2.1210485,0.22894901,1.4511181,2.1390002,0,2.7646766,2.8800194,3.3412976,2.7982852,0.8550266,0.734475,4.1506915,1.8341638,2.444557,3.514193,BSU00430,,937005,,GO:0008233|GO:0030436
936744,9.40814,11.264643,9.680136,9.300182,10.679658,10.500914,11.793693,10.414347,10.55246,11.224728,10.476349,11.247122,10.280866,10.209826,11.882706,10.950736,10.835591,11.390442,10.469612,10.536243,10.722091,10.273338,10.210474,10.576596,BSU00440,,936744,,
936996,0.9858606,2.9639664,0.4604915,2.4942908,3.5052025,2.839127,4.638526,3.8021555,4.0928497,4.295364,3.9249427,4.3423038,3.5612333,3.8896253,4.199764,3.8195593,3.0368612,3.0867062,2.6623814,2.975302,4.64568,3.8414035,0.64356655,2.965,BSU00450,,936996,,
936970,7.8743744,7.9603906,5.80603,5.558831,6.787812,7.3844457,6.9049244,6.8533936,6.9591584,6.825417,6.196868,6.895888,5.953159,6.734063,7.3727527,7.3884172,7.9474163,7.453467,7.0132284,7.1134086,6.650849,6.7180786,8.386004,8.225522,BSU00460,,936970,,GO:0016114|GO:0050515
937000,8.781829,9.3252735,7.627668,7.550748,8.474257,8.546603,8.735826,8.126961,8.291861,8.12207,8.20522,8.684462,8.290068,8.741222,8.600243,8.641806,9.070056,8.688022,8.026612,8.468126,8.312185,8.194803,9.4115,9.439604,BSU00470,,937000,,
936988,7.9500003,9.080183,8.268202,8.439538,8.31888,8.232316,8.421144,8.324495,8.147917,8.431925,8.284221,8.379707,8.97185,8.702264,8.231473,8.42063,8.27547,7.903751,8.354161,8.145712,8.427633,8.128989,8.557016,8.580368,BSU00480,,936988,,GO:0004521|GO:0006402
936959,9.955726,11.089913,10.586011,10.666734,9.821254,10.495097,10.951424,10.938841,10.907838,10.956654,11.147857,10.365245,10.82795,10.657521,10.083575,10.800644,9.797219,10.303173,11.231815,10.252398,11.006418,10.68392,10.4584255,10.35116,BSU00490,,936959,,GO:0000917
936139,10.203034,10.280405,8.153053,8.599879,9.132854,8.5060215,9.591295,8.630736,8.588291,9.242916,8.522406,8.897186,8.850737,8.92391,9.788528,9.098705,9.649014,9.629078,9.02185,9.371461,8.215271,8.465392,11.038265,10.562402,BSU00500,,936139,,GO:0003977|GO:0005737|GO:0009103|GO:0009252|GO:0019134
936985,9.615054,9.723121,8.0204935,8.899708,9.06982,8.680565,8.888759,9.017478,8.20231,8.801076,8.657551,8.978659,8.614016,8.47367,9.11146,9.422874,9.64216,9.342783,8.780032,9.128279,7.8341813,7.834328,10.485964,9.958675,BSU00510,,936985,,
936984,10.523933,11.329606,9.350788,11.988697,10.634843,8.688592,12.124236,11.655017,11.479662,10.233318,11.008866,12.519611,13.017623,12.485222,12.271811,11.186174,9.590003,10.473191,9.178916,10.010356,11.217803,11.47834,10.292561,9.796169,BSU00520,,936984,,GO:0003735|GO:0006412|GO:0006950|GO:0008097|GO:0022625
936740,7.1903806,7.5412903,5.7847695,6.1293592,6.34799,6.013252,7.0470767,7.5051007,7.5849996,6.356568,6.5193877,7.0453253,6.821932,7.249155,7.9268417,7.1145363,5.9354296,6.489778,5.9806995,6.5051055,7.2273216,7.868159,7.2372622,6.8952184,BSU00530,,936740,,GO:0004045|GO:0006412
936978,6.1538763,5.8510947,4.8598075,5.2762766,5.280047,5.160302,6.3402095,5.9893317,6.4058223,5.6444197,5.401228,6.0353174,6.182438,6.1407394,6.2038283,5.5733657,5.111804,5.7065873,5.3591623,5.6307516,6.049427,5.939462,5.8913555,5.5665407,BSU00540,,936978,,GO:0003674|GO:0005575|GO:0008150
936653,9.532062,8.319176,8.290417,8.416937,9.0617485,9.290446,8.653957,9.127824,9.358882,8.822487,9.000736,9.295792,8.533092,8.479763,9.243203,9.505953,8.9783,9.114011,9.048563,9.0227165,9.357364,9.344467,9.027395,8.70108,BSU00550,,936653,,GO:0003690|GO:0005515|GO:0005524|GO:0006281|GO:0016887
936975,7.150338,7.0230517,6.246539,5.922528,6.6567206,7.0514555,5.701421,6.826655,6.9501305,6.2566886,6.8789,6.4841766,5.723963,5.7057014,6.9030185,7.0905333,6.8052855,6.9478745,6.944774,6.6989584,6.90577,6.832975,7.048534,6.748554,BSU00560,,936975,,GO:0003700|GO:0006355|GO:0030436
936539,6.6952987,6.5053306,5.4301014,6.059822,5.8318896,6.0984416,5.2899704,5.741701,5.64031,5.499571,3.9420788,4.476563,4.139,4.396312,5.734669,5.555316,5.725031,5.907874,5.040218,5.924395,5.62686,5.646335,6.112315,6.1886206,BSU00570,,936539,,GO:0000271
936973,8.873701,8.504361,8.077353,8.080646,7.9391184,8.157422,8.55388,8.036234,8.553345,8.13037,7.838471,7.825926,7.202591,7.6620436,8.111186,8.299542,8.189012,8.377294,8.336136,8.193489,8.015081,8.185728,8.941776,8.871322,BSU00580,,936973,,GO:0008152|GO:0008757
936800,6.9965363,6.0682006,6.453615,6.43368,6.194717,6.4065285,7.362155,6.793374,6.913929,6.647868,6.6460342,6.846038,6.316163,6.019858,6.3141265,5.873482,6.54072,6.3485713,6.9125443,6.676867,6.579961,6.3016963,7.010311,6.957317,BSU00590,,936800,,
936966,6.7796674,6.083642,6.165171,5.728756,5.848218,5.9358783,6.737129,6.351447,6.657209,6.643598,5.9940214,5.863653,6.13938,6.1313972,6.4079747,5.6589565,6.060863,6.1527863,6.747897,6.3163867,6.798355,6.2019973,6.911503,6.616356,BSU00600,,936966,,GO:0003674|GO:0005575|GO:0030436
936971,7.7234926,6.9409575,6.990648,6.718039,6.0430865,6.7558713,7.5059752,7.0172286,6.8812675,7.166337,5.828342,5.9884257,5.8411994,6.757699,7.145483,6.5425763,6.6021066,7.288222,7.2949224,6.5205703,6.9316974,7.183966,7.63978,7.6951404,BSU00610,,936971,,GO:0003674|GO:0030436
936786,8.643866,8.431148,8.0068865,7.879649,7.6075697,7.906703,8.514753,8.332137,8.101119,8.402084,7.5768414,7.7494097,7.816709,7.4101706,8.374372,7.5374317,7.661384,8.282795,8.017226,7.837421,8.286407,8.188102,8.52317,8.684926,BSU00620,,936786,,GO:0007049
936574,10.1173525,10.669986,8.183184,8.298136,8.562393,8.562953,8.837664,8.674054,8.526175,9.155866,7.8562875,8.517308,7.707291,7.984525,9.201303,8.395132,9.0737295,9.571174,8.825369,8.603337,8.675788,8.472923,10.627171,10.629815,BSU00630,,936574,,GO:0003723
938480,5.630466,4.5108614,4.2678466,4.313719,4.9327407,4.496267,5.49591,4.929436,5.1939635,5.0700293,3.8139117,5.444014,5.5984316,5.5551414,5.8678217,4.718635,6.204135,5.6775393,4.439989,4.778869,4.5377145,4.31479,4.7423005,5.93793,BSU00640,,938480,,GO:0004722|GO:0016020|GO:0030436
936965,4.4097953,4.6346836,4.0379944,3.945231,4.2722445,3.3617759,4.3358164,3.6405487,4.7095065,4.1346874,3.3684418,4.25967,0,3.7598412,4.9139047,4.112176,4.849005,4.9828863,3.0315652,4.185509,4.6010146,3.9799318,3.9407816,4.61979,BSU00650,,936965,,
936964,4.1142273,2.5064957,0.47196615,3.3190053,1.9288259,1.1305847,2.729463,3.4029887,3.7262096,3.1460164,0.24511933,3.1995983,4.946355,2.5389998,3.648634,0.36445504,3.88561,3.8421745,1.5348537,3.387756,2.5145183,3.3002238,2.3052053,3.0935912,BSU00660,,936964,,
936922,10.0337105,9.317829,9.2522955,8.766222,8.210203,8.696754,8.833812,8.948844,8.868598,8.940546,7.530636,7.366435,8.316232,8.281275,8.564632,8.1799345,8.248736,8.4783945,9.510153,8.684633,9.079702,8.992916,9.28234,9.505506,BSU00670,,936922,,
936945,9.266923,8.726334,8.617797,7.93759,8.063112,9.065571,8.074419,8.171884,8.419744,8.452758,7.7619157,7.5134053,7.592138,7.854563,8.200687,8.125128,8.809768,8.553673,8.911147,8.705486,8.649624,8.561348,9.298142,9.200781,BSU00680,,936945,,GO:0004422|GO:0006166
938094,12.5928135,11.850807,12.153681,12.1166315,12.030211,12.254084,11.451384,11.786283,11.6314945,11.684873,12.074375,11.8434725,11.658069,11.655438,11.819502,12.300101,12.31942,12.034316,12.173801,11.967847,11.940098,11.855776,12.780181,12.680167,BSU00690,,938094,,GO:0016887|GO:0019538
936960,7.4497333,7.110788,6.2231936,4.728756,6.5555706,6.964549,6.478376,6.556718,6.1092815,6.6019406,5.8544507,6.0392485,4.766753,6.3963413,6.816323,6.456933,6.3973937,6.683053,5.7864475,6.6618533,6.0988297,6.0875173,7.0884194,7.0889072,BSU00700,,936960,,GO:0004594|GO:0015937
936762,8.001798,8.264855,7.340013,7.1519675,7.804991,8.240528,7.590653,8.004006,7.746303,7.6452856,7.717561,7.6593175,6.8134956,7.061795,7.796097,7.535815,7.7826333,7.9927764,7.3456793,8.020578,7.6390324,7.553718,8.184678,8.198156,BSU00710,,936762,,GO:0006457|GO:0006979|GO:0050821
936955,6.879203,5.3463244,5.7399626,5.716077,6.1908164,6.405955,5.832377,5.9531035,5.785068,5.8550234,5.124465,5.715172,5.847345,4.782319,5.8736835,5.500606,5.515491,6.3455434,5.824039,6.4940467,5.958273,5.990398,6.6376705,6.39817,BSU00720,,936955,,GO:0006457
936636,8.385429,7.7012186,9.684335,8.654106,8.779832,8.337908,8.707068,8.616791,8.584604,8.394217,8.841675,8.834025,8.8083105,8.029073,8.341312,9.075291,7.612197,8.406977,11.858563,8.719207,8.738652,8.629759,8.4765,8.248721,BSU00730,,936636,,GO:0004124|GO:0006535
936926,7.043421,6.7964087,6.420849,6.928206,6.348681,6.7802043,6.738113,7.193501,6.8813696,6.3957396,6.325167,6.9246335,6.6023498,6.962842,5.890532,6.294467,6.3717446,6.809313,6.846436,6.6285934,6.9567857,6.608307,6.9252687,6.498244,BSU00740,,936926,,GO:0046820
936441,7.636574,7.574134,7.531719,7.7020144,7.1830597,7.0951824,7.34764,7.4773297,7.563574,7.1791735,7.2423162,7.259064,7.274955,7.5099373,6.7770905,6.73783,6.8386555,7.071879,7.5456057,7.207098,7.283377,7.202665,7.249199,7.346418,BSU00750,,936441,,GO:0003824
936944,7.5394797,6.150858,6.7398176,5.9826703,5.9727964,6.3602147,6.573682,6.7592154,6.6742787,6.0142274,6.292438,6.99638,6.7242703,5.7156067,6.02762,5.820414,6.278359,6.447698,6.5526457,6.5450015,6.356235,6.310368,6.4484253,6.522054,BSU00760,,936944,,
